"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"801","058860","KTis","2,680","20","+0.75%","500","933","34,802",4.76,"110,372","9.27","5.60"
"802","001020","페이퍼코리아","2,480","10","+0.40%","500","930","37,503",0.2,"176,655","-6.60","-136.14"
"803","010100","한국프랜지","3,045","145","+5.00%","1,000","927","30,450",2.68,"488,330","12.38","5.35"
"804","371160","TIGER 차이나항셍테크","12,190","545","+4.68%","0","926","7,600",0.5,"345,077","N/A","N/A"
"805","005257","녹십자홀딩스2우","109,500","500","+0.46%","500","926","846",0.19,"6,792","103.50","N/A"
"806","315960","KBSTAR 대형고배당10TR","16,220","400","+2.53%","0","925","5,700",0,"9,039","N/A","N/A"
"807","035000","지투알","5,580","50","+0.90%","1,000","924","16,567",33.71,"26,419","4.68","11.17"
"808","570022","TRUE 레버리지 S&P500 선물 ETN(H)","18,360","125","-0.68%","0","918","5,000",0,"27,486","N/A","N/A"
"809","003547","대신증권2우B","9,150","100","+1.10%","5,000","915","10,000",1,"23,565","8.43","N/A"
"810","017040","광명전기","2,110","90","+4.46%","500","914","43,338",4.25,"464,349","11.22","8.53"
"811","500053","신한 레버리지 천연가스 선물 ETN","4,530","90","+2.03%","0","906","20,000",0,"367,505","N/A","N/A"
"812","092780","동양피스톤","6,830","450","+7.05%","500","899","13,168",0.57,"292,492","-683.00","9.72"
"813","014710","사조씨푸드","5,220","120","-2.25%","1,000","899","17,219",0.99,"176,388","-19.41","-2.66"
"814","302190","TIGER 중장기국채","52,665","90","-0.17%","0","895","1,700",0,"176","N/A","N/A"
"815","000910","유니온","5,720","120","+2.14%","500","893","15,612",0.54,"219,976","-16.48","-14.93"
"816","016090","대현","2,015","60","+3.07%","500","892","44,282",7.09,"290,346","7.10","8.65"
"817","225040","TIGER 미국S&P500레버리지(합성 H)","24,060","175","-0.72%","0","890","3,700",0,"22,830","N/A","N/A"
"818","155660","DSR","5,560","80","+1.46%","500","890","16,000",1.7,"83,943","10.16","5.83"
"819","008260","NI스틸","3,105","160","+5.43%","500","888","28,600",0.2,"332,203","11.63","5.91"
"820","007590","동방아그로","6,510","90","+1.40%","500","886","13,618",29.02,"25,721","12.28","4.79"
"821","009310","참엔지니어링","1,595","20","+1.27%","500","884","55,445",4.04,"624,427","11.39","-33.98"
"822","000040","KR모터스","917","19","+2.12%","500","882","96,137",43.7,"974,249","-2.03","-113.29"
"823","510007","대신 2X 니켈선물 ETN(H)","17,585","565","+3.32%","0","879","5,000",0,"11,875","N/A","N/A"
"824","013000","세우글로벌","3,055","0","0.00%","500","877","28,705",0.88,"617,725","25.67","0.23"
"825","000500","가온전선","21,050","250","+1.20%","5,000","876","4,160",4.67,"16,513","9.85","2.12"
"826","005870","휴니드","6,200","110","+1.81%","5,000","875","14,116",23.34,"167,382","-14.39","7.10"
"827","010040","한국내화","3,825","20","+0.53%","500","875","22,864",0.52,"267,889","98.08","3.18"
"828","145210","세화아이엠씨","573","1","+0.17%","500","868","151,569",0.4,"2,279,769","-3.56","-22.79"
"829","014990","인디에프","1,465","10","+0.69%","500","863","58,933",0.38,"168,929","-8.09","-5.02"
"830","368190","HANARO Fn K-뉴딜디지털플러스","13,480","500","+3.85%","0","863","6,400",0,"277,020","N/A","N/A"
"831","003080","성보화학","4,305","70","-1.60%","500","862","20,020",0.7,"38,095","-50.65","-1.91"
"832","364970","TIGER KRX바이오K-뉴딜","12,405","770","+6.62%","0","856","6,900",0,"585,458","N/A","N/A"
"833","005800","신영와코루","94,900","500","+0.53%","5,000","854","900",26.04,"480","12.73","1.24"
"834","005190","동성화학","15,900","50","-0.31%","1,000","848","5,336",1.25,"8,378","5.63","11.92"
"835","005110","한창","1,270","15","-1.17%","500","848","66,790",1.48,"1,673,574","-4.74","-15.00"
"836","580006","KB KTOP30 ETN","16,930","0","0.00%","0","846","5,000",0,"0","N/A","N/A"
"837","006370","대구백화점","7,820","60","+0.77%","5,000","846","10,822",0.63,"3,641","-4.68","-6.93"
"838","025620","제이준코스메틱","2,285","0","0.00%","500","843","36,909",1.3,"191,983","-1.46","-93.55"
"839","001140","국보","1,700","20","+1.19%","500","839","49,376",0.49,"386,818","85.00","-36.39"
"840","004450","삼화왕관","38,900","500","+1.30%","5,000","838","2,154",7.85,"965","56.95","N/A"
"841","003610","방림","1,975","30","+1.54%","500","836","42,314",1.41,"100,381","16.74","2.62"
"842","100220","비상교육","6,430","20","+0.31%","500","836","12,997",7.62,"11,020","-8.39","5.36"
"843","510008","대신 철광석 선물 ETN(H)","41,700","365","-0.87%","0","834","2,000",0,"123","N/A","N/A"
"844","550001","QV Big Vol ETN","16,600","385","+2.37%","0","830","5,000",0,"294","N/A","N/A"
"845","195930","TIGER 유로스탁스50(합성 H)","11,720","235","-1.97%","0","820","7,000",0,"37,832","N/A","N/A"
"846","016880","웅진","1,030","10","+0.98%","500","818","79,378",1.25,"73,592","-0.62","-106.55"
"847","530068","삼성 레버리지 천연가스 선물 ETN B","8,170","180","+2.25%","0","817","10,000",0,"45,931","N/A","N/A"
"848","017370","우신시스템","4,440","115","+2.66%","500","813","18,314",0.92,"159,636","49.33","5.18"
"849","021820","세원정공","8,090","0","0.00%","500","809","10,000",14.92,"0","5.42","1.85"
"850","006570","대림통상","5,290","1,215","+29.82%","1,000","805","15,225",1.3,"602,612","-5.19","-11.78"
"851","058730","다스코","5,220","30","-0.57%","500","804","15,400",2.6,"53,262","-15.17","1.51"
"852","014440","영보화학","3,965","30","-0.75%","500","793","20,000",52.13,"120,825","39.65","3.56"
"853","002920","유성기업","3,055","60","+2.00%","500","793","25,948",15.88,"157,360","13.64","6.47"
